#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A80071
#Date Time: 2019-03-02 12:19:27.780
#Sample rate: 400Hz
#Samples: 2700
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.65 V

Time (s),Channel 1 (V)
-10.685,1.74679
-10.6825,1.74544
-10.68,1.74342
-10.6775,1.73229
-10.675,1.75151
-10.6725,1.75589
-10.67,1.74915
-10.6675,1.7451
-10.665,1.74038
-10.6625,1.74342
-10.66,1.74948
-10.6575,1.75285
-10.655,1.7542
-10.6525,1.74746
-10.65,1.74409
-10.6475,1.73903
-10.645,1.74578
-10.6425,1.75083
-10.64,1.75454
-10.6375,1.75353
-10.635,1.74915
-10.6325,1.74106
-10.63,1.7269
-10.6275,1.7478
-10.625,1.75184
-10.6225,1.75555
-10.62,1.74915
-10.6175,1.7451
-10.615,1.74038
-10.6125,1.74308
-10.61,1.74915
-10.6075,1.75285
-10.605,1.75454
-10.6025,1.74746
-10.6,1.74409
-10.5975,1.73903
-10.595,1.74578
-10.5925,1.7505
-10.59,1.75656
-10.5875,1.75521
-10.585,1.73903
-10.5825,1.73465
-10.58,1.74005
-10.5775,1.7478
-10.575,1.75151
-10.5725,1.75521
-10.57,1.74915
-10.5675,1.74476
-10.565,1.74005
-10.5625,1.74274
-10.56,1.74881
-10.5575,1.75252
-10.555,1.7542
-10.5525,1.74712
-10.55,1.74409
-10.5475,1.7387
-10.545,1.74544
-10.5425,1.75319
-10.54,1.75724
-10.5375,1.73903
-10.535,1.74342
-10.5325,1.74207
-10.53,1.74005
-10.5275,1.74746
-10.525,1.75117
-10.5225,1.75488
-10.52,1.74881
-10.5175,1.74443
-10.515,1.74005
-10.5125,1.7424
-10.51,1.74881
-10.5075,1.75218
-10.505,1.75387
-10.5025,1.74712
-10.5,1.74375
-10.4975,1.7387
-10.495,1.74847
-10.4925,1.75319
-10.49,1.73769
-10.4875,1.75184
-10.485,1.74578
-10.4825,1.74207
-10.48,1.73971
-10.4775,1.74712
-10.475,1.75083
-10.4725,1.75488
-10.47,1.74847
-10.4675,1.74443
-10.465,1.73971
-10.4625,1.7424
-10.46,1.74847
-10.4575,1.75218
-10.455,1.75387
-10.4525,1.74679
-10.45,1.74443
-10.4475,1.74173
-10.445,1.74746
-10.4425,1.73398
-10.44,1.75353
-10.4375,1.75151
-10.435,1.74544
-10.4325,1.74139
-10.43,1.73937
-10.4275,1.74679
-10.425,1.7505
-10.4225,1.7542
-10.42,1.74814
-10.4175,1.74409
-10.415,1.73937
-10.4125,1.74173
-10.41,1.74814
-10.4075,1.75151
-10.405,1.75319
-10.4025,1.7478
-10.4,1.74578
-10.3975,1.73431
-10.395,1.73263
-10.3925,1.74915
-10.39,1.75285
-10.3875,1.7505
-10.385,1.74443
-10.3825,1.74072
-10.38,1.73836
-10.3775,1.74578
-10.375,1.74915
-10.3725,1.75319
-10.37,1.74712
-10.3675,1.74274
-10.365,1.73769
-10.3625,1.74038
-10.36,1.74645
-10.3575,1.74948
-10.355,1.75319
-10.3525,1.74645
-10.35,1.73061
-10.3475,1.72724
-10.345,1.73971
-10.3425,1.74274
-10.34,1.74308
-10.3375,1.75319
-10.335,1.87657
-10.3325,2.20322
-10.33,1.99725
-10.3275,2.06973
-10.325,2.17726
-10.3225,2.32727
-10.32,2.37244
-10.3175,2.3357
-10.315,2.23592
-10.3125,2.16748
-10.31,2.11153
-10.3075,2.06096
-10.305,2.01377
-10.3025,1.97332
-10.3,2.00871
-10.2975,1.96624
-10.295,1.87354
-10.2925,1.85533
-10.29,1.81555
-10.2875,1.73735
-10.285,1.72454
-10.2825,1.74005
-10.28,1.76802
-10.2775,1.8078
-10.275,1.82162
-10.2725,1.85264
-10.27,1.78353
-10.2675,1.69015
-10.265,1.77005
-10.2625,1.80544
-10.26,1.83713
-10.2575,1.84724
-10.255,1.82466
-10.2525,1.82769
-10.25,1.81555
-10.2475,1.80544
-10.245,1.80106
-10.2425,1.77443
-10.24,1.78151
-10.2375,1.66622
-10.235,1.68611
-10.2325,1.71375
-10.23,1.71476
-10.2275,1.72825
-10.225,1.71072
-10.2225,1.71207
-10.22,1.72184
-10.2175,1.72454
-10.215,1.72016
-10.2125,1.70431
-10.21,1.71139
-10.2075,1.71847
-10.205,1.69656
-10.2025,1.62914
-10.2,1.67836
-10.1975,1.68206
-10.195,1.67903
-10.1925,1.70566
-10.19,1.74038
-10.1875,1.74274
-10.185,1.73364
-10.1825,1.73263
-10.18,1.70836
-10.1775,1.68948
-10.175,1.71274
-10.1725,1.7387
-10.17,1.69083
-10.1675,1.68779
-10.165,1.70263
-10.1625,1.65847
-10.16,1.67128
-10.1575,1.6706
-10.155,1.65746
-10.1525,1.63858
-10.15,1.69049
-10.1475,1.69487
-10.145,1.74308
-10.1425,1.74679
-10.14,1.69723
-10.1375,1.6824
-10.135,1.66218
-10.1325,1.69015
-10.13,1.67836
-10.1275,1.69285
-10.125,1.6942
-10.1225,1.68813
-10.12,1.68544
-10.1175,1.68645
-10.115,1.64431
-10.1125,1.68004
-10.11,1.70162
-10.1075,1.69959
-10.105,1.6915
-10.1025,1.67869
-10.1,1.67128
-10.0975,1.66116
-10.095,1.65543
-10.0925,1.66386
-10.09,1.67027
-10.0875,1.66656
-10.085,1.63319
-10.0825,1.66723
-10.08,1.76128
-10.0775,1.74847
-10.075,1.75083
-10.0725,1.77915
-10.07,1.76802
-10.0675,1.72993
-10.065,1.76364
-10.0625,1.76465
-10.06,1.76802
-10.0575,1.77173
-10.055,1.7714
-10.0525,1.75825
-10.05,1.74746
-10.0475,1.73903
-10.045,1.74409
-10.0425,1.74814
-10.04,1.74915
-10.0375,1.74814
-10.035,1.73971
-10.0325,1.73061
-10.03,1.72184
-10.0275,1.72858
-10.025,1.73701
-10.0225,1.73836
-10.02,1.68341
-10.0175,1.74746
-10.015,1.74207
-10.0125,1.74207
-10.01,1.74847
-10.0075,1.75184
-10.005,1.75454
-10.0025,1.74915
-10,1.74712
-9.9975,1.74375
-9.995,1.75252
-9.9925,1.75892
-9.99,1.76263
-9.9875,1.76061
-9.985,1.7542
-9.9825,1.75016
-9.98,1.7505
-9.9775,1.76128
-9.975,1.75589
-9.9725,1.74544
-9.97,1.76061
-9.9675,1.75623
-9.965,1.75117
-9.9625,1.75285
-9.96,1.7596
-9.9575,1.76263
-9.955,1.76398
-9.9525,1.75757
-9.95,1.75521
-9.9475,1.75117
-9.945,1.7569
-9.9425,1.76095
-9.94,1.76735
-9.9375,1.76701
-9.935,1.76398
-9.9325,1.76263
-9.93,1.76128
-9.9275,1.75252
-9.925,1.75859
-9.9225,1.76802
-9.92,1.76566
-9.9175,1.76398
-9.915,1.75791
-9.9125,1.76095
-9.91,1.76533
-9.9075,1.76735
-9.905,1.76634
-9.9025,1.76364
-9.9,1.76095
-9.8975,1.75488
-9.895,1.75926
-9.8925,1.76263
-9.89,1.76263
-9.8875,1.76095
-9.885,1.76263
-9.8825,1.75859
-9.88,1.73735
-9.8775,1.75555
-9.875,1.76162
-9.8725,1.75926
-9.87,1.75859
-9.8675,1.75791
-9.865,1.75184
-9.8625,1.75521
-9.86,1.75724
-9.8575,1.75724
-9.855,1.75454
-9.8525,1.7569
-9.85,1.75454
-9.8475,1.74881
-9.845,1.75353
-9.8425,1.75623
-9.84,1.75623
-9.8375,1.75791
-9.835,1.75656
-9.8325,1.72993
-9.83,1.74679
-9.8275,1.75083
-9.825,1.75387
-9.8225,1.75151
-9.82,1.75016
-9.8175,1.74881
