#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A80071
#Date Time: 2019-03-02 08:47:40.163
#Sample rate: 800Hz
#Samples: 6340
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V

Time (s),Channel 1 (V)
-4.65,1.66669
-4.64875,1.67039
-4.6475,1.67039
-4.64625,1.67039
-4.645,1.67409
-4.64375,1.67779
-4.6425,1.67409
-4.64125,1.67039
-4.64,1.66669
-4.63875,1.66669
-4.6375,1.66669
-4.63625,1.66299
-4.635,1.66669
-4.63375,1.67039
-4.6325,1.67039
-4.63125,1.64819
-4.63,1.66299
-4.62875,1.67409
-4.6275,1.67779
-4.62625,1.67409
-4.625,1.67039
-4.62375,1.67039
-4.6225,1.66669
-4.62125,1.66669
-4.62,1.66299
-4.61875,1.66299
-4.6175,1.66669
-4.61625,1.66669
-4.615,1.67039
-4.61375,1.67039
-4.6125,1.67409
-4.61125,1.67779
-4.61,1.67409
-4.60875,1.67039
-4.6075,1.67039
-4.60625,1.66669
-4.605,1.66669
-4.60375,1.66299
-4.6025,1.65929
-4.60125,1.66299
-4.6,1.66669
-4.59875,1.67039
-4.5975,1.67039
-4.59625,1.67409
-4.595,1.67409
-4.59375,1.67409
-4.5925,1.67039
-4.59125,1.67039
-4.59,1.67039
-4.58875,1.67039
-4.5875,1.66669
-4.58625,1.66299
-4.585,1.65189
-4.58375,1.64449
-4.5825,1.67039
-4.58125,1.67039
-4.58,1.67409
-4.57875,1.67409
-4.5775,1.67779
-4.57625,1.67409
-4.575,1.67039
-4.57375,1.67039
-4.5725,1.66669
-4.57125,1.66669
-4.57,1.66299
-4.56875,1.66299
-4.5675,1.66669
-4.56625,1.67039
-4.565,1.67039
-4.56375,1.67039
-4.5625,1.67409
-4.56125,1.67779
-4.56,1.67409
-4.55875,1.67039
-4.5575,1.67039
-4.55625,1.66669
-4.555,1.66669
-4.55375,1.66299
-4.5525,1.65929
-4.55125,1.66299
-4.55,1.66669
-4.54875,1.67039
-4.5475,1.67039
-4.54625,1.67039
-4.545,1.67409
-4.54375,1.67779
-4.5425,1.67409
-4.54125,1.67409
-4.54,1.67039
-4.53875,1.67039
-4.5375,1.64449
-4.53625,1.64819
-4.535,1.66299
-4.53375,1.66669
-4.5325,1.67039
-4.53125,1.67039
-4.53,1.67039
-4.52875,1.67409
-4.5275,1.67779
-4.52625,1.67409
-4.525,1.67039
-4.52375,1.66669
-4.5225,1.66669
-4.52125,1.66299
-4.52,1.66299
-4.51875,1.65929
-4.5175,1.66669
-4.51625,1.66669
-4.515,1.67039
-4.51375,1.67039
-4.5125,1.67039
-4.51125,1.67779
-4.51,1.67409
-4.50875,1.67039
-4.5075,1.67039
-4.50625,1.66669
-4.505,1.66669
-4.50375,1.66299
-4.5025,1.65929
-4.50125,1.66299
-4.5,1.66669
-4.49875,1.67039
-4.4975,1.67039
-4.49625,1.67409
-4.495,1.67779
-4.49375,1.67779
-4.4925,1.67409
-4.49125,1.66669
-4.49,1.64449
-4.48875,1.65929
-4.4875,1.66669
-4.48625,1.66299
-4.485,1.66299
-4.48375,1.66669
-4.4825,1.67039
-4.48125,1.67039
-4.48,1.67039
-4.47875,1.67409
-4.4775,1.67409
-4.47625,1.67409
-4.475,1.67039
-4.47375,1.66669
-4.4725,1.66669
-4.47125,1.66669
-4.47,1.66299
-4.46875,1.65929
-4.4675,1.66299
-4.46625,1.66669
-4.465,1.67039
-4.46375,1.67039
-4.4625,1.67039
-4.46125,1.67409
-4.46,1.67409
-4.45875,1.67039
-4.4575,1.67039
-4.45625,1.66669
-4.455,1.66669
-4.45375,1.66299
-4.4525,1.65929
-4.45125,1.66299
-4.45,1.66669
-4.44875,1.67409
-4.4475,1.67409
-4.44625,1.67409
-4.445,1.67779
-4.44375,1.65929
-4.4425,1.65559
-4.44125,1.67039
-4.44,1.66669
-4.43875,1.66669
-4.4375,1.66299
-4.43625,1.65929
-4.435,1.65929
-4.43375,1.66669
-4.4325,1.66669
-4.43125,1.67039
-4.43,1.67039
-4.42875,1.67409
-4.4275,1.67409
-4.42625,1.67409
-4.425,1.67039
-4.42375,1.66669
-4.4225,1.66669
-4.42125,1.66669
-4.42,1.66299
-4.41875,1.66299
-4.4175,1.66299
-4.41625,1.66669
-4.415,1.67039
-4.41375,1.67039
-4.4125,1.67039
-4.41125,1.67409
-4.41,1.67409
-4.40875,1.67039
-4.4075,1.67039
-4.40625,1.66669
-4.405,1.66669
-4.40375,1.66299
-4.4025,1.66299
-4.40125,1.66669
-4.4,1.67039
-4.39875,1.67039
-4.3975,1.67039
-4.39625,1.64819
-4.395,1.66669
-4.39375,1.67779
-4.3925,1.67409
-4.39125,1.67039
-4.39,1.66669
-4.38875,1.66669
-4.3875,1.66669
-4.38625,1.65929
-4.385,1.65929
-4.38375,1.66669
-4.3825,1.67039
-4.38125,1.67039
-4.38,1.67039
-4.37875,1.67409
-4.3775,1.67409
-4.37625,1.67409
-4.375,1.67039
-4.37375,1.66669
-4.3725,1.66669
-4.37125,1.66669
-4.37,1.66299
-4.36875,1.65929
-4.3675,1.66299
-4.36625,1.66669
-4.365,1.67039
-4.36375,1.67039
-4.3625,1.67039
-4.36125,1.67409
-4.36,1.67409
-4.35875,1.67039
-4.3575,1.66669
-4.35625,1.66669
-4.355,1.66669
-4.35375,1.66669
-4.3525,1.66299
-4.35125,1.66669
-4.35,1.65559
-4.34875,1.64819
-4.3475,1.67039
-4.34625,1.67039
-4.345,1.67409
-4.34375,1.67409
-4.3425,1.67409
-4.34125,1.67039
-4.34,1.66669
-4.33875,1.66669
-4.3375,1.66299
-4.33625,1.65929
-4.335,1.66299
-4.33375,1.66669
-4.3325,1.66669
-4.33125,1.67039
-4.33,1.67039
-4.32875,1.67409
-4.3275,1.67409
-4.32625,1.67409
-4.325,1.67039
-4.32375,1.66669
-4.3225,1.66669
-4.32125,1.66299
-4.32,1.65929
-4.31875,1.65929
-4.3175,1.66299
-4.31625,1.66669
-4.315,1.66669
-4.31375,1.67039
-4.3125,1.67039
-4.31125,1.67409
-4.31,1.67409
-4.30875,1.67039
-4.3075,1.67039
-4.30625,1.67039
-4.305,1.66669
-4.30375,1.66669
-4.3025,1.64079
-4.30125,1.64819
-4.3,1.66669
-4.29875,1.66669
-4.2975,1.67039
-4.29625,1.67039
-4.295,1.67409
-4.29375,1.67409
-4.2925,1.67039
-4.29125,1.66669
-4.29,1.66669
-4.28875,1.66299
-4.2875,1.66299
-4.28625,1.65929
-4.285,1.65929
-4.28375,1.66299
-4.2825,1.66669
-4.28125,1.66669
-4.28,1.67039
-4.27875,1.67039
-4.2775,1.67409
-4.27625,1.67409
-4.275,1.67039
-4.27375,1.66669
-4.2725,1.66669
-4.27125,1.66299
-4.27,1.65929
-4.26875,1.65929
-4.2675,1.66299
-4.26625,1.66669
-4.265,1.66669
-4.26375,1.67039
-4.2625,1.67039
-4.26125,1.67779
-4.26,1.67779
-4.25875,1.67409
-4.2575,1.67039
-4.25625,1.65929
-4.255,1.64079
-4.25375,1.65929
-4.2525,1.65929
-4.25125,1.65929
-4.25,1.66669
-4.24875,1.66669
-4.2475,1.67039
-4.24625,1.67039
-4.245,1.67409
-4.24375,1.67409
-4.2425,1.67039
-4.24125,1.66669
-4.24,1.66299
-4.23875,1.66299
-4.2375,1.66299
-4.23625,1.65929
-4.235,1.65929
-4.23375,1.66299
-4.2325,1.66669
-4.23125,1.66669
-4.23,1.67039
-4.22875,1.67039
-4.2275,1.67409
-4.22625,1.67039
-4.225,1.66669
-4.22375,1.66669
-4.2225,1.66299
-4.22125,1.66299
-4.22,1.65929
-4.21875,1.65929
-4.2175,1.66299
-4.21625,1.66669
-4.215,1.66669
-4.21375,1.67409
-4.2125,1.67409
-4.21125,1.67779
-4.21,1.67779
-4.20875,1.65559
-4.2075,1.65189
-4.20625,1.66669
-4.205,1.66299
-4.20375,1.66299
-4.2025,1.65929
-4.20125,1.66299
-4.2,1.66669
-4.19875,1.66669
-4.1975,1.67039
-4.19625,1.67039
-4.195,1.67039
-4.19375,1.67409
-4.1925,1.67039
-4.19125,1.66669
-4.19,1.66669
-4.18875,1.66299
-4.1875,1.66299
-4.18625,1.65929
-4.185,1.65929
-4.18375,1.66299
-4.1825,1.66669
-4.18125,1.66669
-4.18,1.67039
-4.17875,1.67039
-4.1775,1.67409
