#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A80071
#Date Time: 2019-03-02 09:35:08.533
#Sample rate: 800Hz
#Samples: 6540
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V

Time (s),Channel 1 (V)
-4.65,1.70739
-4.64875,1.71109
-4.6475,1.71109
-4.64625,1.71479
-4.645,1.71109
-4.64375,1.70739
-4.6425,1.70739
-4.64125,1.70739
-4.64,1.70369
-4.63875,1.70369
-4.6375,1.69999
-4.63625,1.70369
-4.635,1.70739
-4.63375,1.70739
-4.6325,1.71479
-4.63125,1.71849
-4.63,1.71849
-4.62875,1.71849
-4.6275,1.71479
-4.62625,1.67409
-4.625,1.67409
-4.62375,1.70369
-4.6225,1.70369
-4.62125,1.69999
-4.62,1.70369
-4.61875,1.70369
-4.6175,1.70739
-4.61625,1.71109
-4.615,1.71109
-4.61375,1.71109
-4.6125,1.71479
-4.61125,1.71109
-4.61,1.70739
-4.60875,1.70739
-4.6075,1.70369
-4.60625,1.70369
-4.605,1.69999
-4.60375,1.69999
-4.6025,1.70369
-4.60125,1.70739
-4.6,1.70739
-4.59875,1.71109
-4.5975,1.71109
-4.59625,1.71479
-4.595,1.71109
-4.59375,1.71109
-4.5925,1.70739
-4.59125,1.70739
-4.59,1.70369
-4.58875,1.69999
-4.5875,1.69999
-4.58625,1.70369
-4.585,1.71109
-4.58375,1.71479
-4.5825,1.71849
-4.58125,1.71849
-4.58,1.71109
-4.57875,1.67039
-4.5775,1.69999
-4.57625,1.70739
-4.575,1.70739
-4.57375,1.70739
-4.5725,1.70369
-4.57125,1.69999
-4.57,1.70369
-4.56875,1.70739
-4.5675,1.70739
-4.56625,1.71109
-4.565,1.71109
-4.56375,1.71109
-4.5625,1.71479
-4.56125,1.71109
-4.56,1.70739
-4.55875,1.70739
-4.5575,1.70739
-4.55625,1.70369
-4.555,1.69999
-4.55375,1.69999
-4.5525,1.70369
-4.55125,1.70739
-4.55,1.70739
-4.54875,1.71109
-4.5475,1.71109
-4.54625,1.71479
-4.545,1.71109
-4.54375,1.71109
-4.5425,1.70739
-4.54125,1.70739
-4.54,1.70369
-4.53875,1.70369
-4.5375,1.70739
-4.53625,1.71109
-4.535,1.71109
-4.53375,1.71479
-4.5325,1.68519
-4.53125,1.67039
-4.53,1.71479
-4.52875,1.71109
-4.5275,1.71109
-4.52625,1.70739
-4.525,1.70739
-4.52375,1.70369
-4.5225,1.70369
-4.52125,1.69999
-4.52,1.69999
-4.51875,1.70369
-4.5175,1.70739
-4.51625,1.71109
-4.515,1.71109
-4.51375,1.71109
-4.5125,1.71109
-4.51125,1.71109
-4.51,1.70739
-4.50875,1.70739
-4.5075,1.70369
-4.50625,1.70369
-4.505,1.69999
-4.50375,1.69999
-4.5025,1.70369
-4.50125,1.70739
-4.5,1.70739
-4.49875,1.71109
-4.4975,1.71109
-4.49625,1.71479
-4.495,1.71109
-4.49375,1.70739
-4.4925,1.70739
-4.49125,1.71109
-4.49,1.71109
-4.48875,1.70739
-4.4875,1.70739
-4.48625,1.70739
-4.485,1.66299
-4.48375,1.68519
-4.4825,1.71109
-4.48125,1.71109
-4.48,1.71479
-4.47875,1.71479
-4.4775,1.71109
-4.47625,1.70739
-4.475,1.70739
-4.47375,1.70369
-4.4725,1.70369
-4.47125,1.69999
-4.47,1.69999
-4.46875,1.70369
-4.4675,1.70739
-4.46625,1.71109
-4.465,1.71109
-4.46375,1.71109
-4.4625,1.71479
-4.46125,1.71109
-4.46,1.70739
-4.45875,1.70739
-4.4575,1.70739
-4.45625,1.70369
-4.455,1.69999
-4.45375,1.69999
-4.4525,1.70369
-4.45125,1.70739
-4.45,1.71109
-4.44875,1.71109
-4.4475,1.71109
-4.44625,1.71479
-4.445,1.71109
-4.44375,1.71479
-4.4425,1.71479
-4.44125,1.71109
-4.44,1.71109
-4.43875,1.68889
-4.4375,1.65559
-4.43625,1.69629
-4.435,1.70369
-4.43375,1.70739
-4.4325,1.71109
-4.43125,1.71109
-4.43,1.71109
-4.42875,1.71109
-4.4275,1.71109
-4.42625,1.70739
-4.425,1.70369
-4.42375,1.70369
-4.4225,1.70369
-4.42125,1.69999
-4.42,1.70369
-4.41875,1.70369
-4.4175,1.70739
-4.41625,1.70739
-4.415,1.71109
-4.41375,1.71109
-4.4125,1.71109
-4.41125,1.71109
-4.41,1.70739
-4.40875,1.70739
-4.4075,1.70739
-4.40625,1.70369
-4.405,1.69999
-4.40375,1.69999
-4.4025,1.70369
-4.40125,1.70739
-4.4,1.70739
-4.39875,1.71109
-4.3975,1.71479
-4.39625,1.71849
-4.395,1.71849
-4.39375,1.71479
-4.3925,1.71479
-4.39125,1.67409
-4.39,1.67039
-4.38875,1.69999
-4.3875,1.69999
-4.38625,1.70369
-4.385,1.70739
-4.38375,1.70739
-4.3825,1.71109
-4.38125,1.71109
-4.38,1.71109
-4.37875,1.71109
-4.3775,1.70739
