data_collector,person_id,side,mkey,mvalue,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,right,hand.width,7.9,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,left,hand.width,7.8,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,right,hand.elbow,17.1,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,left,hand.elbow,18.3,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,right,elbow.armpit,12,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,left,elbow.armpit,11,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,right,arm.reach,89.3,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,left,arm.reach,90.3,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,NA,arm.span,72.7,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,right,foot.length,10.4,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,left,foot.length,10.8,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,right,floor.kneepit,19,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,left,floor.kneepit,18.5,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,right,floor.hip,41.5,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,left,floor.hip,41.5,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,NA,floor.navel,42.8,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,right,floor.armpit,58.8,,,,,,,,,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,left,floor.armpit,58,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,NA,height,68.7,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,NA,head.height,8,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,NA,head.circumference,21.8,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,right,hand.length,7.4,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,left,hand.length,7.3,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,right,hand.width,7.8,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,left,hand.width,7.9,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,right,hand.elbow,16.5,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,left,hand.elbow,15.8,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,right,elbow.armpit,9.5,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,left,elbow.armpit,10.8,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,right,arm.reach,85,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,left,arm.reach,87,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,NA,arm.span,69,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,right,foot.length,10.5,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,left,foot.length,10,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,right,floor.kneepit,18.25,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,left,floor.kneepit,16.6,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,right,floor.hip,41.1,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,left,floor.hip,42,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,NA,floor.navel,41.5,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,right,floor.armpit,53.2,,,,,,,,,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,left,floor.armpit,53,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,NA,height,72,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,NA,head.height,9.25,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,NA,head.circumference,22.5,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,right,hand.length,7.5,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,left,hand.length,7.5,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,right,hand.width,10,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,left,hand.width,10,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,right,hand.elbow,19.5,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,left,hand.elbow,19.25,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,right,elbow.armpit,8.5,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,left,elbow.armpit,8.75,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,right,arm.reach,92.75,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,left,arm.reach,92,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,NA,arm.span,76,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,right,foot.length,11,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,left,foot.length,11,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,right,floor.kneepit,20.5,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,left,floor.kneepit,21.5,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,right,floor.hip,39,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,left,floor.hip,39,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,NA,floor.navel,42.5,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,right,floor.armpit,56.75,,,,,,,,,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,left,floor.armpit,56.75,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,NA,height,69.75,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,NA,head.height,8.25,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,NA,head.circumference,21.75,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,right,hand.length,7.25,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,left,hand.length,7.25,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,right,hand.width,8.75,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,left,hand.width,8.25,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,right,hand.elbow,17.5,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,left,hand.elbow,17.75,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,right,elbow.armpit,14,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,left,elbow.armpit,14,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,right,arm.reach,88.5,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,left,arm.reach,88.25,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,NA,arm.span,69.25,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,right,foot.length,9.25,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,left,foot.length,9.25,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,right,floor.kneepit,20,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,left,floor.kneepit,20.5,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,right,floor.hip,39.5,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,left,floor.hip,39.25,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,NA,floor.navel,42,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,right,floor.armpit,56.5,,,,,,,,,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,left,floor.armpit,56.5,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,NA,height,67,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,NA,head.height,15,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,NA,head.circumference,23.75,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,right,hand.length,6.75,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,left,hand.length,7,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,right,hand.width,7.75,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,left,hand.width,7.5,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,right,hand.elbow,16,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,left,hand.elbow,16,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,right,elbow.armpit,10,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,left,elbow.armpit,10,,,,,,,,,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,right,arm.reach,79,,,,,,,,,
